sensor_id,latitude,longitude,road_name
S1,12.99926800933939,77.50265134323335,Road_280
S2,12.983776156607,77.57577623752506,Road_227
S3,12.984428359475068,77.56135739709522,Road_452
S4,12.9317461019288,77.50054568490867,Road_486
S5,12.991373003222728,77.51110556575759,Road_406
S6,12.929760455952087,77.53738686352509,Road_97
S7,12.96452819603742,77.54767366488797,Road_43
S8,12.997901750138329,77.55208311201032,Road_138
S9,12.916440097419937,77.50142787999803,Road_310
S10,12.923891725160763,77.53253839081019,Road_499
S11,12.934957729943545,77.56412529238058,Road_296
S12,12.993416298151585,77.55880137055989,Road_4
S13,12.93265430458942,77.5334682966239,Road_396
S14,12.984922572020379,77.50361797292821,Road_199
S15,12.95698018487749,77.52255203594271,Road_200
S16,12.952133538842906,77.52530752568536,Road_408
S17,12.98009618843766,77.5872032822105,Road_82
S18,12.90642339915001,77.55904920291071,Road_388
S19,12.971318841930648,77.57849789018738,Road_29
S20,12.94410120026477,77.5243211896862,Road_209
S21,12.96822375702824,77.51227037985727,Road_176
S22,12.945907352379507,77.56358328100583,Road_114
S23,12.977104054951862,77.53433328640219,Road_357
S24,12.964658308660765,77.58956121965826,Road_46
S25,12.969398914120779,77.59121240544917,Road_419
S26,12.913601949413767,77.53149619553204,Road_103
S27,12.99386035163018,77.55758666929583,Road_431
S28,12.986528015871727,77.50287292358016,Road_61
S29,12.971656943431206,77.54935304948579,Road_330
S30,12.959261998002777,77.54833293538351,Road_488
S31,12.985306148046403,77.55218810278669,Road_163
S32,12.95145702549402,77.58892533308507,Road_270
S33,12.953179169766512,77.55258513668332,Road_26
S34,12.927365595197768,77.55968226512968,Road_46
S35,12.946034105933121,77.5807037167258,Road_167
S36,12.944306416959916,77.5612683768634,Road_133
S37,12.96204896552728,77.52708845351046,Road_443
S38,12.973009785177734,77.50941931487849,Road_401
S39,12.91619159881905,77.54327224019276,Road_173
S40,12.905929695918696,77.51247348441349,Road_459
S41,12.91581065443621,77.51693949412001,Road_456
S42,12.928990177702644,77.53574598184595,Road_378
S43,12.924978371829795,77.51606800853382,Road_117
S44,12.919127308008164,77.56365144642913,Road_313
S45,12.992270897005403,77.5344887123156,Road_118
S46,12.986558884612736,77.50596871413137,Road_29
S47,12.938228375157024,77.57959175135261,Road_34
S48,12.968626387828003,77.5867824154139,Road_301
S49,12.97967831305604,77.53362401403209,Road_127
S50,12.993056131365034,77.52744955804424,Road_299
S51,12.949825990698974,77.51276154210038,Road_38
S52,12.932984454690041,77.5767164179382,Road_274
S53,12.914381183099247,77.53130813192564,Road_23
S54,12.910495521968025,77.53131268893212,Road_325
S55,12.945965749792745,77.53083320388158,Road_52
S56,12.97077336212956,77.5653563207147,Road_246
S57,12.918073004608164,77.5144464552487,Road_359
S58,12.932709898157075,77.5931154535992,Road_141
S59,12.956923597180054,77.53711360217645,Road_316
S60,12.976496565179252,77.569078443606,Road_336
S61,12.953227115864925,77.57313684539159,Road_95
S62,12.97515865829101,77.54009316667043,Road_466
